mapudungun;espanol;ingles
vemllimay vemlipu;ase es pues el que dice;ASE is therefore the one who says
chumechi anküli lawen tamu;como seco el remedio;How dry the remedy
pipimi tati chaw;como habias dicho padre;As you said father
chumngechi afküli lawen;como se habra terminado el remedio;how the remedy will be finished
ka vemngechi afküli chi kimün llemay;tambien asi se  esta secando la sabiduria pues;Also, wisdom is being drying because
ka vemngechi;tambien asi;also like that
vewla velewetulay;ahora no esta asi;now not like this
velewetulay;no esta asi;It's not like that
veyka venten newen niekerkevuy mapu;y tambien toda la fuerza que tenia la tierra;And also all the force that the earth had
veula vey ngewelay lawen;ahora esta no tiene remedio;Now this has no remedy
ngewelay newen inche;no hay fuerza yo;There is no strength me
incheta chew konpay;yo que tiene que ver;I have to do
tachi pi pu pino tichi;con esos pinos esos;With those pines those
ka tripache;de otras personas;from other persons
veymu penow newen;por eso que no hay fuerza;That is why there is no strength
ngewelay mapu piken;no hay en la tierra digo;There are no on earth I say
ka vey;tambien esto;that too
ka veymu piken;tambien por eso digo;That's why I say
feymu llemay mapu;por eso pues la tierra;That is why the earth
vey newen ngewelay;esta no tiene fuerza;This has no strength
wülkewelay tukun;no da lo que se siembra;Does not give what is sown
vey mülelu am ka tripache;como hay pues otras personas;As there are other people
kelluwtuy chi salitre ahono;que se ayuidan de salitres avonos;that help from avonos saltpeters
vey tukulelngi;eso se le hecha;That is done
vey kümey tukun kuyfi mew vemlay pingi;esto es bueno echarle antes no era bueno se dice;This is good to throw it before it was not good
veymu chi anükan chi pu winka anümpalu;por eso las plantas de los huincas que vino a plantar;That is why the plants of the huincas that came to plant
veymu penow vemi chew müli kaliwtu;por eso debe ser que pasa esto donde hay eucaliptus;That is why this happens where there is eucalyptus
vey kachu rume weflay pu chaw;ni pasto siquiera no sale pues padre;nor even go out well because father
wefwelay ka;no sale tampoco;It doesn't come out either
wef welay ka;no sale tampoco;It doesn't come out either
vey llemay ta vey newen ngewelay mapu;eso pues por eso no tiene fuerza la tierra;That is why the earth has no strength
veymu llemay ta fantenmu;por eso pues hasta aqui;That is why so far
ta veyta tukungetuy tachi salitre ahono;ahora se coloca salitre abono;now saltpeter fertilizer is placed
veymu may;por eso pues;That's why
veymu penow ka che;por eso debe ser que la gente;That is why it must be that people
ngewen ngewekelay;no tiene fuerza;It has no strength
newen ngewelay;no tiene fuerza;It has no strength
inakoni;le afecto tambien;I also affected you
inakoni mapumu inchin am mapuche;le afecto como a la tierra nosotros que somos mapuches;I affection for the earth we are Mapuches
veley ka veley inchin mapuche;esto tambien es asi yo soy mapuche;This is also the case I am Mapuche
ta laku konküli ta mapumu;esta relacionada cmo una abuela por parte madre con la tierra;It is related how a grandmother by mother with the earth
tañi  mülen ka;en nuestra estadia tambien;In our stay too
veley llemay chaw;asi es pues padre;So it's a father
velellimay;asi es pues;That's right
veymu peno rume venteküme;por eso  debe ser que muy bien;That is why it must be that very good
pekevuy lawen;encontraba remedio;I found remedy
ka kimkevuy ta lawen;tambien sabia remedio;I also knew remedy
chumelu chi kimkevuy ka lawen;por que sera que conocia tambien remedio;Why would it also knew remedy
machi chumngelu chi ka;la machi por que sera tambien;the machi because it will also be
kimkevuy lawen;conocia remedio;I knew remedy
kim lawentuchelu;que sabia hacerle remedio a la gente;who knew how to remedy people
iñi chi elukevuyu kimün vey;quien sera que le daba esta sabiduria;Who will be that he gave him this wisdom
elukeveyu ta elchen ka;le  daba el que dejo  la gente tambien;The people left him too
elchen;el que dejo a la gente;The one who leaves people
elchen;el que dejo a la gente;The one who leaves people
vemngechi elchen elkevuy;de esta manera elchen lo dejaba;In this way Elchen left him
pewmaka elungi pu;en el suno le daba pues;In the Suno it gave him then
pewma;en el sueno;in dream
pewma;en el sueno;in dream
ngütram mu elungelay pewma welu vey;en conversacion no le dan pero en sueno eso;In conversation they do not give it but in dream that
pewmamew;en el sueno;in dream
tüfa lawen pingi;este remedio se le dice;This remedy is told
umawtulu vey pewmakevuy;al dormirse sonaba;When falling asleep
rakika lawen ngeli;remedio contado se dejo;Remedy counted was left
raki lawen elngi;remedio contado se dejo;Remedy counted was left
veyta machi;la machi;La Machi
veyta machi pillantüy pillantu;la machi;La Machi
yetuy tañi raki ka lawennül;se lo lleva;He takes it
eymi ta veyta pillantun;usted este pillantun;You this Pillantun
kimlaymi tati chaw;no lo conoce este padre;This father does not know him
kimlan;no lo conosco;I don't know him
kimlaymi pillantunmew;no conoce el pillantu;does not know the Pillantu
pütrütu amuy ta raki ka lawennun;entra harta en la enfermedad de vomito;Fed up in Vomito's disease
pütrü amuy tati;va harto pues;It's fed up
vey fantepumu anta;y esto ahora;And this now
re winkangetuvulu tachi che;solo la gente que lo conocia;Only the people who knew him
veula ta vey petu petu wiñoy ngün tati;ahora esta volviendo esto pues;Now this is coming back then
petu wüñotuyngün y;ahora estan volviendo y;now they are returning and
ka vemngechi kümetuay taiñ ngülu mapu;tambien asi esta mejormuestra tierra donde se siembra;This is also the mejorm sow where it is sown
pin nieken inche ta ka vey;dicho tambien tengo yo esto;said I also have this
mapuche ta ngülu mapu pillelanta;mapuche donde siembra no esque ya dije;Mapuche where sowing I didn't have already said
veleyka;asi debe ser pues tambien;So it must be too
ngülumapu pingi tati;la tierra donde siembra se dice pues;The land where it sows is said then
ngulumapu;la tierra donde siembra;The land where it sows
vey  kuivi;esto antes;This before
ka pichikeche papeltukelavuy;tambien los ninos chicos iban al colegio;Also boys go to school
chillkatulavuy;estaba estudiando;I was studying
welu ventren kimün nivuy;pero bastante conocimiento tenia;But quite knowledge had
chumngechi kimkevuy dungu;como sera que sabia las cosas;How it would be that I knew things
chumlerpual ka;como iban a estar tambien;how were they going to be too
ta chumngechi tañi müleal;como van a estar;how will they be
tañi mongenmu;nuestras vida;Our life
pichikeche;los ninos chicos;Child girls
kimkepevuy may;sabria pues;I would know then
kimkevuy chumngelu chumngelu;sabia por que por que;I knew why
chaw llemay ta ngülamiyu ñuke;el padre le dio consejo a la madre;The father gave advice to the mother
welu dullilelngelay kiñeke;pero no le eligiron uno;But I didn't choose one
füchakeche llemay ta ngülamchey;las personas ancianas dan consejos;elderly people give advice
kuyfikeche inche ta vemngechi ta;gente antigua yo asi;ancient people me like this
kiñe antü ta lelinelngelay;un dia no solo se mira;One day not only looks
tañi ngülamngeal pun;para darle consejo en la noche;To give him advice at night
wüni ngülamnengi che;al amanecer se le da consejo a la gente;At dawn, people are given advice
yafütuley che;tiene fuerzala gente;You have people
ngülamnengi chewpüle;se le da consejo en cualquier parte;He is given advice anywhere
werküngi fapi puaymi pingi;se manda eso dijo vas a decir e dice;It is sent that said you're going to say and says
küme chalichekeaymi;vas a saludar bien;You are going to greet well
ayetuchekelayaymi feytachi;no vas a reirte de las gentes esta;you will not laugh at the people this
füfa ngülamkunungi;consejole dan;advised him
vemngechi ta kümekechi;asi  de buena forma;so good way
ta trekayawi wechekeche;anda caminando las personas joven;Walk the young people
küme ngülam rume ngülam;buen consejo muchos consejos;good advice many tips
inche ta ta fante tremlu;yo hasta donde e crecido;I to where and grown up
ta niefulu tani ñuke;que tenia mi madre;what my mother had
ta fente küme ta trana ngülamngi;muy buen consejo entregaba;Very good advice delivered
niekefenew trana ngülamngi;me entregaba buen consejo;I gave me good advice
ngülamngi ñi küdawfengeal;me daba consejo para que sea una persona trabajadora;I was given advice to be a working person
ñi chem rume ñi wenuntunual;sacar adelante todo;Take forward everything
ñi inanial müten;de seguir no mas;to continue no more
chuchi che kümelkalele;a la gente que este bien;To the people who are fine
inche kay küdawli;yo si trabajo;I if I work
pikefenew tañi ñukeyem;me decia mi madre;My mother told me
vemngechi ngülam nengi;asi se daba consejo;This was advice
femngechi yamkevuy ta pichi keche pütakeche kom;asi se criaba los ninos chicos las personas mayores todas;Thus the children were raised the elderly all
kom;todas;all
vemngechi kimkevuy tañi lof kom mülen;asi  sabian todo lo que en sulugar habia;So they knew everything in Sulugar there was
kom yami;todas sabia;They all knew
kom yamwi;todos sabian;everybody knew
ngülam ngülam nengi;los consejoslos consejos se consideraban;The advice were considered
re trekalayaymi hijo pingi;no vas a caminar de puro gusto hijo le decia;You are not going to walk from pure taste son told him
ngillaymay kunuaymi pingi che;vas  a comprarte le dicen a la gente;You're going to buy you people
trekarumekelafuy komu re vemng echi;no caminaba sobre las aguas asi no mas;I did not walk on the waters like this no more
re vemngechi ka une ngillatuki;asi no mas no primero hace rogativa;So no more first makes rogative
ngillatukunuvuy may;hacia rogativa pues;towards rogative then
veyta ngülam mu ta kimfimi vemngechi tañi femal;esto lo sabes por consejos  que tenia que hacer esto;You know this for advice that I had to do this
vey ñi vemal chaw llemay;de tener que hacer esto pues padre;to have to do this then father
re komu müten llamkevuy;solo con agua  crecia;only with water grew
komu mawida müli ngen mawida ngen winkul;en el agua la mntana tiene dueno dueno de la montana del cerro;In the water the Mntana has owner of the Montana del Cerro
ka vey ta müli pikievuy tañi llamafiel engün;tambien esto hay decia como lo llamaban ellos;This is also said as they called it
llamafiel engün;como lo llamaban ellos;as they called it
veymu vey vamngechi kim tripay;por eso esto asi sabian salir;That is why they knew how to get out
tañi yamial ko;para ir a buscar agua;To go looking for water
ka yamieavel ta mawida ka;tambien andar en la montana tambien;Also walking in the montana too
tañi yamniavel ta winkul;para ir al cerro;To go to the hill
ka  chumelu chi vente;tambien por que tanto;also because so much
ngülamngekevuy;le daban tanto consejos;They gave him so much advice
veyta ñi llamviel ta veyti ta chi pu;para no perder esa vez pues esto;Not to lose that time because this
winkul ko ka vey chi mawida;el agua del cerro tambien la montana;The water of the hill also La Montana
tañi kim chengellan kay;para ser una persona buena;To be a good person
wes wes ngenuam yamkefi;para no ser loca;Not to be crazy
müleluam ngen ngelu;como hay pues quien tiene dueno;As there is those who have owner
veymu müley ngen müli ngen ngelu;por eso hay dueno hay quien tiene dueno;That is why there are owners who have a owner
müley ngen ko;hay dueno del agua;There are water owner
müli ngen winkul rüpü;hay dueno del camino del cerro;There are owner of the Cerro Camino
ketu ni ngen ngelu pingi tati chaw;tiene dueno se dice pues padre;Has owner is then said father
kichu lelay ta rüpü;solo no esta el camino;There is only the way
inche kimnen kichulenon;yo se que no esta solo;I know it's not alone
welu inche renche pewmaken;pero  yo  no sueno por sonar no mas;But I don't sound like sounding no more
pewmaken vey mew vey;sueno por eso por eso;dream why that's why
veymu veypipeyu chaw;por eso le he dicho padre;That's why I told him a father
pewmaken ini rume veypingeki;sueno lo que a nadie le dice;dream what nobody tells
pilayan inche ta pewmaken;no voy a decir yo sueno;I'm not going to say sound
ni ta ngen ngelu rüpü;de que el camino tiene dueno;that the road has owner
müley ta ngen rüpü rüpü ta;hay dueno del camino del camino este;There are owner of the road of the road
kidulelay;no esta solo;you are not alone
sulelay;no esta solo;you are not alone
veymu pütakeche kom pengelelkevuy;por eso la gente mayor todo lo mostraba;That is why the elderly showed everything
tañi yamafiel rüke;como que se ibaa perder;Like I will lose
vey mew llemay;por eso pues;That's why
vey may ñi tuteleam vel;eso pues para estar bien;so to be fine
